title,price,category_id,short_desc,content,image_id,brand_id,deleted_at
16377   1KS Folyékony fólia 7 kg,19725,\N,"1 KS Folyékonyfólia




 
felhasználásra kész

 
hengerelhető- és simítható

 
EN 14891 szabvány szerinti

 
nagyon emissziószegény - EC1 Plus


"," 

felhasználásra kész

 
hengerelhető- és simítható

 
EN 14891 szabvány szerinti

 
nagyon emissziószegény - EC1 Plus

Gyorsan száradó, rendkívül kiadós, oldószermentes, nem vízáteresztő, egykomponensű, tartósan elasztikus, hézag- és varratmentes kenhető szigetelés. Kizárólag beltérben alkalmazható, közvetlenül a kerámia burkolatok alatt (pl.: zuhanyzókban, tusolókban, fürdőszobákban) nyomás nélkül lefolyó víz ellen. Megfelel az EN 14891 és az ÖNORM B 3407 W1 – W4 szabványoknak, valamint az DIN 18534 szerinti W0-I, W1-I, W2-I (fal) nedvességterhelési osztályoknak. Az 1 KS Folyékonyfólia felhordása mindig két munkafolyamatban történik. A sárga és kék színben kapható új 1 KS Folyékonyfóliának köszönhetően ennek megléte utólag is egyszerűen ellenőrizhető.

Anyagszükséglet
kb. 1,5 kg/m²/mm (kb. 0,8 kg/m²/0,5 mm rétegenként)


Szín
sárga, kék
",159,11,\N
4003 AM 20 Kiegyenlítőhabarcs 25 kg,7900,\N," 


 



poralakú

 
gyorsan keményedő

 
állékony

 
20 mm-ig egy rétegben




"," 

poralakú

 
gyorsan keményedő

 
állékony

 
20 mm-ig egy rétegben

Cementbázisú, víz- és fagyálló, gyorsan keményedő, hidraulikusan kötő kiegyenlítőhabarcs. Speciális adalékanyagainak köszönhetően max. 20 mm rétegvastagságig feszültségmentesen kikeményedik és nagyon jó feldolgozási tulajdonságokkal rendelkezik. Kül-és beltérben az egyenetlen fal- és padlófelületek kiegyenlítésére burkolás előtt.

Anyagszükséglet
kb. 1,6 kg/m²/mm rétegenként
",163,11,\N
FM 60 PRÉMIUM fugázó 4 kg,3275,\N,"
finom fugakép

 
vízlepergető

 
víz- és szennyeződés taszító

 
gombásodásnak ellenál

 
porzáscsökkentett
"," 

finom fugakép

 
vízlepergető

 
víz- és szennyeződés taszító

 
gombásodásnak ellenál

 
porzáscsökkentett

Poralakú, élelmiszerbarát, fény-, víz- és fagyálló, finom szemszerkezetű, nagy szilárdságú, vízlepergető flexibilis fugázóhabarcs. Egyenletesen húzható és könnyen bedolgozható a fugába. A magas kopásállóságú fugázóanyag alacsony vízfelvétele megakadályozza a foltképződést. Kül- és beltérben 7 mm fugaszélességig. Víz és szennyeződéstaszító. Alkalmas kerámiacsempékhez, burkolólapokhoz, mozaikokhoz, valamint greslapokhoz. Padlófűtés esetén, valamint vizes helyiségekben is alkalmazható. Falra és padlóra, valamint teraszra és erkélyre is használható.

Anyagszükséglet
kb. 0,2 - 0,9 kg/m²csempe és fugamérettől függően


Szín
lásd a műszaki adatlap függelékében
",164,\N,\N
30558 AP 10 Parketta mélytisztító 1 l,8210,\N," 

vizes bázisú

 
környezetkímélő

 
nagyon kiadós
"," 

vizes bázisú

 
környezetkímélő

 
nagyon kiadós

Vizesbázisú, környezetkímélő, egyszerűen alkalmazható tisztítószer. Beltérben, alap- és közbenső tisztításhoz parkettáknál és más fapadlóknál, valamint a viaszmaradványok és a makacs szennyeződések eltávolítására.

Anyagszükséglet
alaptisztításnál: kb. 0,1 - 0,5 liter / 1 liter vízhez közbenső tisztításnál: kb. 0,1 - 0,2 liter / 10 liter vízhez
",165,11,\N
30560   AP 20 Aqua parketta ápoló 1 l,7465,\N," 

környezetkímélő

 
vizesbázisú

 
csúszásgátló
"," 

környezetkímélő

 
vizesbázisú

 
csúszásgátló

Vizes bázisú, csúszásmentes ápolószer a bevonattal ellátott parketta- és fapadlókhoz, bevonattal ellátott parafákhoz (zárt pórusú), PVC-hez és linóleumhoz. Az ápolószer polírozás nélkül megszáradva szennyeződéstaszító, strapabíró és csúszásmentes filmréteget képez. Az első- és teljes ápoláshoz, valamint a parketták és más fapadlók rendszeres tisztításához beltérben.

Anyagszükséglet
első és teljes ápoláshoz: kb. 30 - 40 ml/m² hígítatlanul (= 30 - 50 m²/l)
",166,11,\N
H112411 AV 20 Aqua különleges alapozó 1 l,6900,\N,"
nagyon jó mélyrehatoló képesség

 
összeragadást-csökkentő hatás

 
gyors száradás
"," 

nagyon jó mélyrehatoló képesség

 
összeragadást-csökkentő hatás

 
gyors száradás

Könnyen feldolgozható, vizes alapozó kezeletlen parkettákhoz. A jó behatolóképesség a fugákban összeragadás-csökkentő hatást fejt ki. Csak beltéri felhasználásra, minden Murexin vizes bázisú parkettalakkok alapozásához. Minden hazai lombos fafajtához.

Anyagszükséglet
1 liter kb. 7 - 8 m² (hengerelve)
",167,11,\N
14451   D311 PVC- és szőnyegragasztó 25 kg,39365,\N," 

széles alkalmazási terület

 
könnyen felhordható

 
rövid szellőztetési idő
","D 311 PVC- és szőnyegragasztó




 
széles alkalmazási terület

 
könnyen felhordható

 
rövid szellőztetési idő

Gyenge szagú, diszperziós ragasztó a textil és rugalmas burkolatok ragasztásához, jó feldolgozási tulajdonságokkal. Beltérben, sima, nyomott vagy latex hátoldalú textilburkolatok, valamint szintetikus hátoldalú és PU-habhátoldalú és tűfilcburkolatok ragasztásához. Rugalmas homogén és heterogén PVC, valamint CV burkolatokhoz.

Anyagszükséglet
kb. 300 - 500 g/m² az alapfelület és a burkolat hátoldalától függően


Szín
bézs


",168,11,\N
6191   D390 Univerzális ragasztó 1 kg,4270,\N," 

nagyon jó kezdeti tapadás

 
gyors szilárdulás
","D 390 Univerzális ragasztó




 
nagyon jó kezdeti tapadás

 
gyors szilárdulás

Emissziószegény, oldószermentes, gyenge szagú, kiváló minőségű, megnövelt utóragasztó hatású, nagyon jó tapadási szilárdságú, diszperziós műgyantaragasztó. Csak beltéri alkalmazásra, tekercsben vagy táblában gyártott homogén PVC aljzatra és falra, valamint sima és nyomott latexhab-alátétes vagy latexezett hátoldalú és PUR-hab alátétes padlóburkolatokhoz.

Anyagszükséglet
kb. 280 - 400 g/m² az alapfelülettől, és a burkolat hátoldalától függően
 


 


",169,11,\N
15832   D 495 Designburkolat ragasztó LVT 14 kg,36385,\N," 

szálerősített

 
kemény ragasztóbordák, nagy mérettartóság

 
magas kezdeti tapadás

 
rövid szellőztetési idő

 
univerzálisan felhasználható
","D 495 Designburkolat ragasztó




 
szálerősített

 
kemény ragasztóbordák, nagy mérettartóság

 
magas kezdeti tapadás

 
rövid szellőztetési idő

 
univerzálisan felhasználható

Nagyon emissziószegény, oldószermentes, szálerősített, nedveságyas diszperziós ragasztó magas kezdeti tapadással és kemény ragasztó bordákkal, mérettartó képesség a megnövelt igénybevételekhez. Minimális maradékbenyomódási viselkedés. Csak beltéri felhasználásra,a PVC-, Designburkolatokhoz, PVC-CV burkolatokhoz lapokban és tekercsben, kaucsuk burkolatokhoz lapokban és tekercsben 3,2 mm vastagságig, valamint klórmentes padlóburkolatokhoz (poliolefin).

Anyagszükséglet
kb. 250 - 350 g/m² az alapfelülettől és burkolat hátoldalától függően


",170,11,\N
16274   D 495 Designburkolat ragasztó LVT 6 kg,17220,\N," 

szálerősített

 
kemény ragasztóbordák, nagy mérettartóság

 
magas kezdeti tapadás

 
rövid szellőztetési idő

 
univerzálisan felhasználható
","D 495 Designburkolat ragasztó




 
szálerősített

 
kemény ragasztóbordák, nagy mérettartóság

 
magas kezdeti tapadás

 
rövid szellőztetési idő

 
univerzálisan felhasználható

Nagyon emissziószegény, oldószermentes, szálerősített, nedveságyas diszperziós ragasztó magas kezdeti tapadással és kemény ragasztó bordákkal, mérettartó képesség a megnövelt igénybevételekhez. Minimális maradékbenyomódási viselkedés. Csak beltéri felhasználásra,a PVC-, Designburkolatokhoz, PVC-CV burkolatokhoz lapokban és tekercsben, kaucsuk burkolatokhoz lapokban és tekercsben 3,2 mm vastagságig, valamint klórmentes padlóburkolatokhoz (poliolefin).

Anyagszükséglet
kb. 250 - 350 g/m² az alapfelülettől és burkolat hátoldalától függően


",170,11,\N
